x,U++,V_2
0,1.86,0.11477307561954886
5,1.98,0.16831892760302924
10,2.08,0.21469597510056415
15,2.24,0.3330331241152793
20,2.43,0.49232599581784076
25,2.74,0.780683767505618
30,3.31,1.335741903315621
35,4.54,2.5540499357956783
40,7.21,5.210802127037028
