运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
1.175,-0.156,1.382,-1.885,-0.0037,0.033,-0.045,0.003,0.188,5.551E-16,7.5000E-5,0.004,-1.735E-17
1.200,-0.123,1.319,-1.885,-0.0029,0.031,-0.045,0.008,0.188,3.331E-14,1.8750E-4,0.004,7.980E-16
1.225,-0.090,1.288,-2.513,-0.0021,0.031,-0.060,0.013,0.188,-0.628,3.0000E-4,0.005,-0.015
1.250,-0.058,1.194,-3.770,-0.0014,0.028,-0.090,0.017,0.157,-1.257,4.1250E-4,0.004,-0.030
1.275,-0.030,1.100,-3.142,-7.1250E-4,0.026,-0.075,0.020,0.126,-0.628,4.8750E-4,0.003,-0.015
1.300,-0.003,1.037,-2.513,-7.5000E-5,0.025,-0.060,0.024,0.126,-0.628,5.6250E-4,0.003,-0.015
1.325,0.022,0.974,-3.142,5.2500E-4,0.023,-0.075,0.027,0.094,-1.257,6.3750E-4,0.002,-0.030
1.350,0.046,0.880,-5.027,0.0011,0.021,-0.120,0.028,0.063,-0.628,6.7500E-4,0.002,-0.015
1.375,0.066,0.723,-5.655,0.0016,0.017,-0.135,0.030,0.063,-0.628,7.1250E-4,0.001,-0.015
1.400,0.082,0.597,-3.770,0.0020,0.014,-0.090,0.031,0.031,-0.628,7.5000E-4,7.500E-4,-0.015
1.425,0.096,0.534,-3.770,0.0023,0.013,-0.090,0.031,0.031,-1.388E-15,7.5000E-4,7.500E-4,0.000
1.450,0.108,0.408,-5.655,0.0026,0.010,-0.135,0.033,0.031,-1.257,7.8750E-4,7.500E-4,-0.030
1.475,0.116,0.251,-5.655,0.0028,0.006,-0.135,0.033,-0.031,-1.257,7.8750E-4,-7.500E-4,-0.030
1.500,0.121,0.126,-5.027,0.0029,0.003,-0.120,0.031,-0.031,2.776E-15,7.5000E-4,-7.500E-4,6.722E-17
1.525,0.123,0.000,-5.027,0.0029,0.000,-0.120,0.031,-0.031,-1.257,7.5000E-4,-7.500E-4,-0.030
1.550,0.121,-0.126,-5.027,0.0029,-0.003,-0.120,0.030,-0.094,-1.885,7.1250E-4,-0.002,-0.045
1.575,0.116,-0.251,-5.655,0.0028,-0.006,-0.135,0.027,-0.126,-0.628,6.3750E-4,-0.003,-0.015
1.600,0.108,-0.408,-5.655,0.0026,-0.010,-0.135,0.024,-0.126,0.000,5.6250E-4,-0.003,0.000
1.625,0.096,-0.534,-4.398,0.0023,-0.013,-0.105,0.020,-0.126,-0.628,4.8750E-4,-0.003,-0.015
1.650,0.082,-0.628,-3.770,0.0020,-0.015,-0.090,0.017,-0.157,-0.628,4.1250E-4,-0.004,-0.015
1.675,0.064,-0.723,-4.398,0.0015,-0.017,-0.105,0.013,-0.157,0.000,3.0000E-4,-0.004,0.000
1.700,0.046,-0.848,-5.027,0.0011,-0.020,-0.120,0.009,-0.157,-0.628,2.2500E-4,-0.004,-0.015
1.725,0.022,-0.974,-3.770,5.2500E-4,-0.023,-0.090,0.005,-0.188,-0.628,1.1250E-4,-0.005,-0.015
1.750,-0.003,-1.037,-3.142,-7.5000E-5,-0.025,-0.075,5.204E-18,-0.188,-0.628,-5.6921E-19,-0.004,-0.015
1.775,-0.030,-1.131,-3.142,-7.1250E-4,-0.027,-0.075,-0.005,-0.220,-0.628,-1.1250E-4,-0.005,-0.015
1.800,-0.060,-1.194,-2.513,-0.0014,-0.028,-0.060,-0.011,-0.220,-1.110E-15,-2.6250E-4,-0.005,-1.735E-17
1.825,-0.090,-1.257,-2.513,-0.0021,-0.030,-0.060,-0.016,-0.220,-0.628,-3.7500E-4,-0.005,-0.015
1.850,-0.123,-1.319,-1.885,-0.0029,-0.032,-0.045,-0.022,-0.251,-0.628,-5.2500E-4,-0.006,-0.015
1.875,-0.156,-1.351,-1.885,-0.0037,-0.032,-0.045,-0.028,-0.251,-0.628,-6.7500E-4,-0.006,-0.015
1.900,-0.190,-1.414,-1.885,-0.0045,-0.034,-0.045,-0.035,-0.283,-1.257,-8.2500E-4,-0.007,-0.030
1.925,-0.226,-1.445,-0.628,-0.0054,-0.034,-0.015,-0.042,-0.314,-1.110E-15,-0.0010,-0.007,0.000
1.950,-0.262,-1.445,0.628,-0.0063,-0.034,0.015,-0.050,-0.283,0.628,-0.0012,-0.007,0.015
1.975,-0.298,-1.414,0.628,-0.0071,-0.034,0.015,-0.057,-0.283,-0.628,-0.0014,-0.007,-0.015
2.000,-0.333,-1.414,0.000,-0.0079,-0.034,0.000,-0.064,-0.314,0.000,-0.0015,-0.008,0.000
2.025,-0.369,-1.414,1.257,-0.0088,-0.034,0.030,-0.072,-0.283,1.257,-0.0017,-0.007,0.030
2.050,-0.404,-1.351,1.885,-0.0096,-0.032,0.045,-0.079,-0.251,0.628,-0.0019,-0.006,0.015
2.075,-0.437,-1.319,1.257,-0.0104,-0.031,0.030,-0.085,-0.251,-4.441E-14,-0.0020,-0.006,-9.888E-16
2.100,-0.470,-1.288,2.513,-0.0112,-0.031,0.060,-0.091,-0.251,0.628,-0.0022,-0.006,0.015
2.125,-0.501,-1.194,3.142,-0.0120,-0.029,0.075,-0.097,-0.220,1.257,-0.0023,-0.005,0.030
2.150,-0.529,-1.131,2.513,-0.0126,-0.027,0.060,-0.102,-0.188,1.257,-0.0024,-0.004,0.030
2.175,-0.558,-1.068,3.770,-0.0133,-0.025,0.090,-0.107,-0.157,1.257,-0.0026,-0.004,0.030
2.200,-0.583,-0.942,4.398,-0.0139,-0.023,0.105,-0.110,-0.126,1.257,-0.0026,-0.003,0.030
2.225,-0.605,-0.848,3.770,-0.0144,-0.020,0.090,-0.113,-0.094,1.257,-0.0027,-0.002,0.030
2.250,-0.625,-0.754,4.398,-0.0149,-0.018,0.105,-0.115,-0.063,1.257,-0.0027,-0.002,0.030
2.275,-0.642,-0.628,4.398,-0.0153,-0.015,0.105,-0.116,-0.031,1.257,-0.0028,-7.500E-4,0.030
2.300,-0.657,-0.534,4.398,-0.0157,-0.013,0.105,-0.116,0.000,0.628,-0.0028,0.000,0.015
2.325,-0.669,-0.408,5.027,-0.0160,-0.010,0.120,-0.116,0.000,0.000,-0.0028,0.000,0.000
2.350,-0.677,-0.283,5.027,-0.0162,-0.007,0.120,-0.116,0.000,0.628,-0.0028,0.000,0.015
2.375,-0.683,-0.157,5.027,-0.0163,-0.004,0.120,-0.116,0.031,1.257,-0.0028,7.500E-4,0.030
2.400,-0.685,-0.031,5.027,-0.0164,-7.500E-4,0.120,-0.115,0.063,0.628,-0.0027,0.002,0.015
