运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
1.175,-0.399,1.319,2.513,-0.0095,0.031,0.060,0.086,-0.188,0.000,0.0021,-0.004,8.674E-17
1.200,-0.366,1.382,2.513,-0.0087,0.033,0.060,0.082,-0.220,-1.257,0.0020,-0.005,-0.030
1.225,-0.330,1.445,1.257,-0.0079,0.035,0.030,0.075,-0.251,-0.628,0.0018,-0.006,-0.015
1.250,-0.294,1.445,-1.377E-13,-0.0070,0.035,-3.053E-15,0.069,-0.251,1.998E-14,0.0017,-0.006,5.378E-16
1.275,-0.258,1.445,0.628,-0.0061,0.034,0.015,0.063,-0.251,-0.628,0.0015,-0.006,-0.015
1.300,-0.221,1.477,0.628,-0.0053,0.035,0.015,0.057,-0.283,-1.257,0.0014,-0.007,-0.030
1.325,-0.184,1.477,-0.628,-0.0044,0.035,-0.015,0.049,-0.314,-1.257,0.0012,-0.007,-0.030
1.350,-0.148,1.445,-1.885,-0.0035,0.035,-0.045,0.041,-0.346,-0.628,9.7500E-4,-0.008,-0.015
1.375,-0.112,1.382,-3.770,-0.0027,0.033,-0.090,0.031,-0.346,3.109E-14,7.5000E-4,-0.008,7.286E-16
1.400,-0.079,1.257,-3.770,-0.0019,0.030,-0.090,0.024,-0.346,-2.220E-15,5.6250E-4,-0.008,-3.469E-17
1.425,-0.049,1.194,-2.513,-0.0012,0.028,-0.060,0.014,-0.346,0.628,3.3750E-4,-0.008,0.015
1.450,-0.019,1.131,-3.770,-4.5000E-4,0.027,-0.090,0.006,-0.314,0.628,1.5000E-4,-0.007,0.015
1.475,0.008,1.005,-5.027,1.8750E-4,0.024,-0.120,-0.002,-0.314,0.628,-3.7500E-5,-0.008,0.015
1.500,0.031,0.880,-5.027,7.5000E-4,0.021,-0.120,-0.009,-0.283,1.257,-2.2500E-4,-0.007,0.030
1.525,0.052,0.754,-5.027,0.0012,0.018,-0.120,-0.016,-0.251,0.628,-3.7500E-4,-0.006,0.015
1.550,0.069,0.628,-5.655,0.0017,0.015,-0.135,-0.022,-0.251,1.257,-5.2500E-4,-0.006,0.030
1.575,0.083,0.471,-6.283,0.0020,0.011,-0.150,-0.028,-0.188,2.513,-6.7500E-4,-0.004,0.060
1.600,0.093,0.314,-6.283,0.0022,0.007,-0.150,-0.031,-0.126,1.885,-7.5000E-4,-0.003,0.045
1.625,0.099,0.157,-6.283,0.0024,0.004,-0.150,-0.035,-0.094,1.257,-8.2500E-4,-0.002,0.030
1.650,0.101,0.000,-6.283,0.0024,0.000,-0.150,-0.036,-0.063,1.257,-8.6250E-4,-0.001,0.030
1.675,0.099,-0.157,-6.283,0.0024,-0.004,-0.150,-0.038,-0.031,1.257,-9.0000E-4,-7.500E-4,0.030
1.700,0.093,-0.314,-6.283,0.0022,-0.007,-0.150,-0.038,0.000,1.257,-9.0000E-4,0.000,0.030
1.725,0.083,-0.471,-6.283,0.0020,-0.011,-0.150,-0.038,0.031,0.628,-9.0000E-4,7.500E-4,0.015
1.750,0.069,-0.628,-6.283,0.0017,-0.015,-0.150,-0.036,0.031,0.628,-8.6250E-4,7.500E-4,0.015
1.775,0.052,-0.785,-5.655,0.0012,-0.019,-0.135,-0.036,0.063,2.513,-8.6250E-4,0.001,0.060
1.800,0.030,-0.911,-4.398,7.1250E-4,-0.022,-0.105,-0.033,0.157,2.513,-7.8750E-4,0.004,0.060
1.825,0.006,-1.005,-4.398,1.5000E-4,-0.024,-0.105,-0.028,0.188,1.257,-6.7500E-4,0.004,0.030
1.850,-0.020,-1.131,-4.398,-4.8750E-4,-0.027,-0.105,-0.024,0.220,1.257,-5.6250E-4,0.005,0.030
1.875,-0.050,-1.225,-3.142,-0.0012,-0.029,-0.075,-0.017,0.251,1.257,-4.1250E-4,0.006,0.030
1.900,-0.082,-1.288,-2.513,-0.0019,-0.031,-0.060,-0.011,0.283,1.257,-2.6250E-4,0.007,0.030
1.925,-0.115,-1.351,-2.513,-0.0027,-0.032,-0.060,-0.003,0.314,1.257,-7.5000E-5,0.007,0.030
1.950,-0.149,-1.414,-1.885,-0.0036,-0.034,-0.045,0.005,0.346,0.628,1.1250E-4,0.008,0.015
1.975,-0.185,-1.445,-1.257,-0.0044,-0.035,-0.030,0.014,0.346,2.887E-14,3.3750E-4,0.008,7.633E-16
2.000,-0.221,-1.477,-0.628,-0.0053,-0.035,-0.015,0.022,0.346,0.628,5.2500E-4,0.008,0.015
2.025,-0.259,-1.477,0.628,-0.0062,-0.035,0.015,0.031,0.377,-0.628,7.5000E-4,0.009,-0.015
2.050,-0.295,-1.445,1.257,-0.0070,-0.034,0.030,0.041,0.314,-1.885,9.7500E-4,0.007,-0.045
