运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
-1.388E-17,1.051,8.090,-1.066E-12,0.0251,0.193,-2.082E-14,0.000,0.000,0.157,0.0000,0.000,0.004
0.010,1.133,8.404,19.635,0.0270,0.201,0.469,,,,,,
0.020,1.219,8.482,-11.781,0.0291,0.202,-0.281,,,,,,
0.030,1.302,8.168,-19.635,0.0311,0.195,-0.469,,,,,,
0.040,1.382,8.090,0.000,0.0330,0.193,1.388E-14,,,,,,
0.050,1.464,8.168,-11.781,0.0350,0.195,-0.281,0.000,0.016,0.157,0.0000,3.750E-4,0.004
0.060,1.546,7.854,-31.416,0.0369,0.187,-0.750,,,,,,
0.070,1.621,7.540,-11.781,0.0387,0.180,-0.281,,,,,,
0.080,1.696,7.618,-3.927,0.0405,0.182,-0.094,,,,,,
0.090,1.773,7.461,-27.489,0.0423,0.178,-0.656,,,,,,
0.100,1.846,7.069,-23.562,0.0441,0.169,-0.563,0.002,0.016,-0.157,3.7500E-5,3.750E-4,-0.004
0.110,1.915,6.990,-7.854,0.0457,0.167,-0.187,,,,,,
0.120,1.985,6.912,-23.562,0.0474,0.165,-0.562,,,,,,
0.130,2.053,6.519,-31.416,0.0490,0.156,-0.750,,,,,,
0.140,2.116,6.283,-19.635,0.0505,0.150,-0.469,,,,,,
0.150,2.179,6.126,-23.562,0.0520,0.146,-0.562,0.002,0.000,-6.939E-17,3.7500E-5,0.000,-2.168E-18
0.160,2.238,5.812,-27.489,0.0534,0.139,-0.656,,,,,,
0.170,2.295,5.576,-23.562,0.0548,0.133,-0.563,,,,,,
0.180,2.350,5.341,-23.562,0.0561,0.128,-0.563,,,,,,
0.190,2.402,5.105,-27.489,0.0573,0.122,-0.656,,,,,,
0.200,2.452,4.791,-27.489,0.0585,0.114,-0.656,0.002,0.016,0.157,3.7500E-5,3.750E-4,0.004
0.210,2.498,4.555,-23.562,0.0596,0.109,-0.563,,,,,,
0.220,2.543,4.320,-31.416,0.0607,0.103,-0.750,,,,,,
0.230,2.584,3.927,-31.416,0.0617,0.094,-0.750,,,,,,
0.240,2.622,3.691,-23.562,0.0626,0.088,-0.563,,,,,,
0.250,2.658,3.456,-31.416,0.0634,0.082,-0.750,0.003,0.016,-0.157,7.5000E-5,3.750E-4,-0.004
0.260,2.691,3.063,-35.343,0.0642,0.073,-0.844,,,,,,
0.270,2.719,2.749,-27.489,0.0649,0.066,-0.656,,,,,,
0.280,2.746,2.513,-27.489,0.0655,0.060,-0.656,,,,,,
0.290,2.769,2.199,-35.343,0.0661,0.052,-0.844,,,,,,
0.300,2.790,1.806,-35.343,0.0666,0.043,-0.844,0.003,0.000,-0.157,7.5000E-5,0.000,-0.004
0.310,2.805,1.492,-27.489,0.0670,0.036,-0.656,,,,,,
0.320,2.820,1.257,-31.416,0.0673,0.030,-0.750,,,,,,
0.330,2.831,0.864,-39.270,0.0676,0.021,-0.937,,,,,,
0.340,2.837,0.471,-31.416,0.0677,0.011,-0.750,,,,,,
0.350,2.840,0.236,-27.489,0.0678,0.006,-0.656,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.360,2.842,-0.079,-35.343,0.0678,-0.002,-0.844,,,,,,
0.370,2.838,-0.471,-35.343,0.0678,-0.011,-0.844,,,,,,
0.380,2.832,-0.785,-31.416,0.0676,-0.019,-0.750,,,,,,
0.390,2.823,-1.100,-31.416,0.0674,-0.026,-0.750,,,,,,
0.400,2.810,-1.414,-27.489,0.0671,-0.034,-0.656,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.410,2.794,-1.649,-27.489,0.0667,-0.039,-0.656,,,,,,
0.420,2.777,-1.963,-35.343,0.0663,-0.047,-0.844,,,,,,
0.430,2.755,-2.356,-35.343,0.0658,-0.056,-0.844,,,,,,
0.440,2.730,-2.670,-31.416,0.0652,-0.064,-0.750,,,,,,
0.450,2.702,-2.985,-27.489,0.0645,-0.071,-0.656,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.460,2.670,-3.220,-27.489,0.0637,-0.077,-0.656,,,,,,
0.470,2.637,-3.534,-31.416,0.0630,-0.084,-0.750,,,,,,
0.480,2.600,-3.848,-23.562,0.0621,-0.092,-0.562,,,,,,
0.490,2.560,-4.006,-23.562,0.0611,-0.096,-0.562,,,,,,
0.500,2.520,-4.320,-31.416,0.0602,-0.103,-0.750,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.510,2.474,-4.634,-23.562,0.0591,-0.111,-0.563,,,,,,
0.520,2.427,-4.791,-19.635,0.0579,-0.114,-0.469,,,,,,
0.530,2.378,-5.027,-23.562,0.0568,-0.120,-0.563,,,,,,
0.540,2.326,-5.262,-23.562,0.0555,-0.126,-0.562,,,,,,
0.550,2.273,-5.498,-23.562,0.0543,-0.131,-0.562,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.560,2.216,-5.733,-19.635,0.0529,-0.137,-0.469,,,,,,
0.570,2.158,-5.890,-19.635,0.0515,-0.141,-0.469,,,,,,
0.580,2.099,-6.126,-23.562,0.0501,-0.146,-0.562,,,,,,
0.590,2.036,-6.362,-19.635,0.0486,-0.152,-0.469,,,,,,
0.600,1.971,-6.519,-19.635,0.0471,-0.156,-0.469,0.003,0.000,-0.157,7.5000E-5,0.000,-0.004
0.610,1.905,-6.754,-19.635,0.0455,-0.161,-0.469,,,,,,
0.620,1.836,-6.912,-7.854,0.0438,-0.165,-0.187,,,,,,
0.630,1.767,-6.912,-7.854,0.0422,-0.165,-0.187,,,,,,
0.640,1.698,-7.069,-23.562,0.0405,-0.169,-0.563,,,,,,
