in s,C1 in V
-1.9047360E-04,2.026671521079E+00
-1.9046400E-04,2.027953523130E+00
-1.9045440E-04,2.027367828034E+00
-1.9044480E-04,2.027777607639E+00
-1.9043520E-04,2.027842397869E+00
-1.9042560E-04,2.028159156602E+00
-1.9041600E-04,2.027088167921E+00
-1.9040640E-04,2.027920135253E+00
-1.9039680E-04,2.027718448799E+00
-1.9038720E-04,2.028099103917E+00
-1.9037760E-04,2.026969861456E+00
-1.9036800E-04,2.028885590017E+00
-1.9035840E-04,2.027812635836E+00
-1.9034880E-04,2.028296667945E+00
-1.9033920E-04,2.028079095699E+00
-1.9032960E-04,2.028502821226E+00
-1.9032000E-04,2.027508197122E+00
-1.9031040E-04,2.028178782773E+00
-1.9030080E-04,2.027403421693E+00
-1.9029120E-04,2.028963847209E+00
-1.9028160E-04,2.027373465833E+00
-1.9027200E-04,2.027834664818E+00
-1.9026240E-04,2.028173955523E+00
-1.9025280E-04,2.028400734544E+00
-1.9024320E-04,2.027919567388E+00
-1.9023360E-04,2.028160189011E+00
-1.9022400E-04,2.027967585188E+00
-1.9021440E-04,2.027875977170E+00
-1.9020480E-04,2.027900936783E+00
-1.9019520E-04,2.028577603151E+00
-1.9018560E-04,2.027896473159E+00
-1.9017600E-04,2.028198449791E+00
-1.9016640E-04,2.027308899865E+00
-1.9015680E-04,2.028389045664E+00
-1.9014720E-04,2.027697171096E+00
-1.9013760E-04,2.028670601596E+00
-1.9012800E-04,2.027502677061E+00
-1.9011840E-04,2.028575675294E+00
-1.9010880E-04,2.027754607920E+00
-1.9009920E-04,2.028592665580E+00
-1.9008960E-04,2.027255631920E+00
-1.9008000E-04,2.027798208550E+00
-1.9007040E-04,2.027878276661E+00
-1.9006080E-04,2.028429123771E+00
-1.9005120E-04,2.028150124431E+00
-1.9004160E-04,2.027954270404E+00
-1.9003200E-04,2.027356590081E+00
-1.9002240E-04,2.028532141943E+00
-1.9001280E-04,2.028869455934E+00
-1.9000320E-04,2.028935506039E+00
-1.8999360E-04,2.027460136071E+00
-1.8998400E-04,2.028810873770E+00
-1.8997440E-04,2.027766049311E+00
-1.8996480E-04,2.029060487517E+00
-1.8995520E-04,2.028399022140E+00
-1.8994560E-04,2.027772192501E+00
-1.8993600E-04,2.028361861047E+00
-1.8992640E-04,2.028482056123E+00
-1.8991680E-04,2.027440775011E+00
-1.8990720E-04,2.027845215567E+00
-1.8989760E-04,2.027317550790E+00
-1.8988800E-04,2.028131933540E+00
-1.8987840E-04,2.028115102642E+00
-1.8986880E-04,2.028258394350E+00
-1.8985920E-04,2.027782833755E+00
-1.8984960E-04,2.027845257216E+00
-1.8984000E-04,2.027569398351E+00
-1.8983040E-04,2.028561728571E+00
-1.8982080E-04,2.027671963193E+00
-1.8981120E-04,2.027977239687E+00
-1.8980160E-04,2.028191387125E+00
-1.8979200E-04,2.028102881939E+00
-1.8978240E-04,2.027972402826E+00
-1.8977280E-04,2.028056863279E+00
-1.8976320E-04,2.027588170723E+00
-1.8975360E-04,2.028138041489E+00
-1.8974400E-04,2.027117596764E+00
-1.8973440E-04,2.028606658757E+00
-1.8972480E-04,2.028185649209E+00
-1.8971520E-04,2.027878410418E+00
-1.8970560E-04,2.027506979697E+00
-1.8969600E-04,2.028603598375E+00
-1.8968640E-04,2.027554808475E+00
-1.8967680E-04,2.028231216140E+00
-1.8966720E-04,2.028063367691E+00
-1.8965760E-04,2.027844254442E+00
-1.8964800E-04,2.027392133281E+00
-1.8963840E-04,2.028988711510E+00
-1.8962880E-04,2.027159528241E+00
-1.8961920E-04,2.028875032861E+00
-1.8960960E-04,2.027869824369E+00
-1.8960000E-04,2.028900015701E+00
-1.8959040E-04,2.027398983699E+00
-1.8958080E-04,2.028202804488E+00
-1.8957120E-04,2.027790158328E+00
-1.8956160E-04,2.028995156654E+00
-1.8955200E-04,2.027950135965E+00
-1.8954240E-04,2.029188448482E+00
-1.8953280E-04,2.027571279753E+00
-1.8952320E-04,2.027940777813E+00
-1.8951360E-04,2.028107593853E+00
-1.8950400E-04,2.028171523877E+00
-1.8949440E-04,2.029199567095E+00
-1.8948480E-04,2.029485780478E+00
-1.8947520E-04,2.028191874896E+00
-1.8946560E-04,2.029388355252E+00
-1.8945600E-04,2.028093478132E+00
-1.8944640E-04,2.028778563153E+00
-1.8943680E-04,2.027785586577E+00
-1.8942720E-04,2.028516581331E+00
-1.8941760E-04,2.027225400538E+00
-1.8940800E-04,2.028444005188E+00
-1.8939840E-04,2.027634398427E+00
-1.8938880E-04,2.028588004925E+00
-1.8937920E-04,2.028410481152E+00
-1.8936960E-04,2.028284548160E+00
-1.8936000E-04,2.028577281975E+00
-1.8935040E-04,2.027924733434E+00
-1.8934080E-04,2.027794762116E+00
-1.8933120E-04,2.028033755433E+00
-1.8932160E-04,2.028539780483E+00
-1.8931200E-04,2.027571331814E+00
-1.8930240E-04,2.027222325739E+00
-1.8929280E-04,2.028321694836E+00
-1.8928320E-04,2.027357519169E+00
-1.8927360E-04,2.027674122520E+00
-1.8926400E-04,2.027744324685E+00
-1.8925440E-04,2.028356000588E+00
-1.8924480E-04,2.028050425344E+00
-1.8923520E-04,2.028847965181E+00
-1.8922560E-04,2.027302288928E+00
-1.8921600E-04,2.027956704453E+00
-1.8920640E-04,2.027803377800E+00
-1.8919680E-04,2.027947886132E+00
-1.8918720E-04,2.028178223718E+00
-1.8917760E-04,2.028682063010E+00
-1.8916800E-04,2.027983276353E+00
-1.8915840E-04,2.027592808951E+00
-1.8914880E-04,2.028279639215E+00
-1.8913920E-04,2.028179620553E+00
-1.8912960E-04,2.028213868637E+00
-1.8912000E-04,2.027825934600E+00
-1.8911040E-04,2.028281140972E+00
-1.8910080E-04,2.028346717723E+00
-1.8909120E-04,2.027745084774E+00
-1.8908160E-04,2.028539202206E+00
-1.8907200E-04,2.027486573413E+00
-1.8906240E-04,2.028152726677E+00
-1.8905280E-04,2.028506386198E+00
-1.8904320E-04,2.028592243486E+00
-1.8903360E-04,2.027684293624E+00
-1.8902400E-04,2.028552790910E+00
-1.8901440E-04,2.028363262687E+00
-1.8900480E-04,2.028546407439E+00
-1.8899520E-04,2.027972467702E+00
-1.8898560E-04,2.028050596744E+00
-1.8897600E-04,2.027622001518E+00
-1.8896640E-04,2.028403816551E+00
-1.8895680E-04,2.027599180408E+00
-1.8894720E-04,2.029082557347E+00
-1.8893760E-04,2.028149452445E+00
-1.8892800E-04,2.028547675323E+00
-1.8891840E-04,2.028590500646E+00
-1.8890880E-04,2.028946725570E+00
-1.8889920E-04,2.028073974505E+00
-1.8888960E-04,2.029676578187E+00
-1.8888000E-04,2.028244522114E+00
-1.8887040E-04,2.028787268542E+00
