运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
1.200,0.262,1.979,-9.425,0.0063,0.047,-0.225,0.091,-0.031,-1.257,0.0022,-7.500E-4,-0.030
1.225,0.308,1.728,-10.681,0.0073,0.041,-0.255,0.090,-0.063,-1.257,0.0021,-0.002,-0.030
1.250,0.349,1.445,-11.938,0.0083,0.035,-0.285,0.088,-0.094,-1.257,0.0021,-0.002,-0.030
1.275,0.380,1.131,-11.310,0.0091,0.027,-0.270,0.085,-0.126,-0.628,0.0020,-0.003,-0.015
1.300,0.405,0.880,-10.681,0.0097,0.021,-0.255,0.082,-0.126,-0.628,0.0020,-0.003,-0.015
1.325,0.424,0.597,-12.566,0.0101,0.014,-0.300,0.079,-0.157,-0.628,0.0019,-0.004,-0.015
1.350,0.435,0.251,-13.195,0.0104,0.006,-0.315,0.074,-0.157,0.000,0.0018,-0.004,0.000
1.375,0.437,-0.063,-11.938,0.0104,-0.002,-0.285,0.071,-0.157,-1.257,0.0017,-0.004,-0.030
1.400,0.432,-0.346,-11.938,0.0103,-0.008,-0.285,0.066,-0.220,-1.257,0.0016,-0.005,-0.030
1.425,0.419,-0.660,-12.566,0.0100,-0.016,-0.300,0.060,-0.220,-2.776E-15,0.0014,-0.005,0.000
1.450,0.399,-0.974,-11.938,0.0095,-0.023,-0.285,0.055,-0.220,-0.628,0.0013,-0.005,-0.015
1.475,0.371,-1.257,-11.310,0.0088,-0.030,-0.270,0.049,-0.251,0.000,0.0012,-0.006,0.000
1.500,0.336,-1.539,-10.681,0.0080,-0.037,-0.255,0.042,-0.220,0.628,0.0010,-0.005,0.015
1.525,0.294,-1.791,-10.053,0.0070,-0.043,-0.240,0.038,-0.220,-0.628,9.0000E-4,-0.005,-0.015
1.550,0.247,-2.042,-9.425,0.0059,-0.049,-0.225,0.031,-0.251,-1.885,7.5000E-4,-0.006,-0.045
1.575,0.192,-2.262,-8.168,0.0046,-0.054,-0.195,0.025,-0.314,-1.257,6.0000E-4,-0.007,-0.030
1.600,0.134,-2.450,-8.168,0.0032,-0.058,-0.195,0.016,-0.314,0.000,3.7500E-4,-0.007,-3.469E-17
1.625,0.069,-2.670,-7.540,0.0016,-0.064,-0.180,0.009,-0.314,0.000,2.2500E-4,-0.007,-3.469E-17
1.650,1.388E-16,-2.827,-6.283,-3.9031E-18,-0.067,-0.150,-1.561E-17,-0.314,0.628,3.7947E-19,-0.007,0.015
1.675,-0.072,-2.985,-5.027,-0.0017,-0.071,-0.120,-0.006,-0.283,-2.220E-15,-1.5000E-4,-0.007,-1.735E-17
1.700,-0.149,-3.079,-2.513,-0.0036,-0.073,-0.060,-0.014,-0.314,-0.628,-3.3750E-4,-0.007,-0.015
1.725,-0.226,-3.110,-1.885,-0.0054,-0.074,-0.045,-0.022,-0.314,0.628,-5.2500E-4,-0.008,0.015
1.750,-0.305,-3.173,-1.885,-0.0073,-0.076,-0.045,-0.030,-0.283,1.885,-7.1250E-4,-0.007,0.045
1.775,-0.385,-3.204,5.418E-13,-0.0092,-0.076,1.332E-14,-0.036,-0.220,1.257,-8.6250E-4,-0.005,0.030
1.800,-0.465,-3.173,1.257,-0.0111,-0.076,0.030,-0.041,-0.220,0.000,-9.7500E-4,-0.005,0.000
1.825,-0.543,-3.142,1.885,-0.0130,-0.075,0.045,-0.047,-0.220,1.885,-0.0011,-0.005,0.045
1.850,-0.622,-3.079,3.142,-0.0149,-0.074,0.075,-0.052,-0.126,2.513,-0.0012,-0.003,0.060
1.875,-0.697,-2.985,3.770,-0.0167,-0.071,0.090,-0.053,-0.094,0.628,-0.0013,-0.002,0.015
1.900,-0.771,-2.890,4.398,-0.0184,-0.069,0.105,-0.057,-0.094,0.628,-0.0013,-0.002,0.015
1.925,-0.842,-2.765,6.283,-0.0201,-0.066,0.150,-0.058,-0.063,1.257,-0.0014,-0.001,0.030
1.950,-0.909,-2.576,7.540,-0.0217,-0.061,0.180,-0.060,-0.031,1.257,-0.0014,-7.500E-4,0.030
1.975,-0.971,-2.388,7.540,-0.0232,-0.057,0.180,-0.060,0.000,1.257,-0.0014,0.000,0.030
2.000,-1.029,-2.199,8.796,-0.0246,-0.053,0.210,-0.060,0.031,1.257,-0.0014,7.500E-4,0.030
2.025,-1.081,-1.948,10.053,-0.0258,-0.047,0.240,-0.058,0.063,0.628,-0.0014,0.002,0.015
2.050,-1.126,-1.696,10.053,-0.0269,-0.040,0.240,-0.057,0.063,-1.110E-14,-0.0013,0.001,-2.689E-16
2.075,-1.166,-1.445,10.681,-0.0278,-0.034,0.255,-0.055,0.063,0.628,-0.0013,0.001,0.015
2.100,-1.199,-1.162,11.310,-0.0286,-0.028,0.270,-0.053,0.094,1.885,-0.0013,0.002,0.045
2.125,-1.224,-0.880,11.310,-0.0292,-0.021,0.270,-0.050,0.157,1.885,-0.0012,0.004,0.045
2.150,-1.243,-0.597,11.938,-0.0297,-0.014,0.285,-0.046,0.188,1.257,-0.0011,0.004,0.030
2.175,-1.253,-0.283,12.566,-0.0299,-0.007,0.300,-0.041,0.220,1.257,-9.7500E-4,0.005,0.030
2.200,-1.257,0.031,11.938,-0.0300,7.500E-4,0.285,-0.035,0.251,0.628,-8.2500E-4,0.006,0.015
2.225,-1.252,0.314,11.938,-0.0299,0.008,0.285,-0.028,0.251,0.628,-6.7500E-4,0.006,0.015
2.250,-1.241,0.628,12.566,-0.0296,0.015,0.300,-0.022,0.283,1.257,-5.2500E-4,0.007,0.030
2.275,-1.221,0.942,11.310,-0.0291,0.022,0.270,-0.014,0.314,1.257,-3.3750E-4,0.007,0.030
2.300,-1.194,1.194,10.681,-0.0285,0.028,0.255,-0.006,0.346,0.628,-1.5000E-4,0.008,0.015
2.325,-1.161,1.477,11.310,-0.0277,0.035,0.270,0.003,0.346,5.995E-14,7.5000E-5,0.008,1.492E-15
2.350,-1.120,1.759,10.053,-0.0267,0.042,0.240,0.011,0.346,-6.217E-14,2.6250E-4,0.008,-1.527E-15
2.375,-1.073,1.979,8.796,-0.0256,0.047,0.210,0.020,0.346,-1.885,4.8750E-4,0.008,-0.045
2.400,-1.021,2.199,8.796,-0.0244,0.052,0.210,0.028,0.251,-2.513,6.7500E-4,0.006,-0.060
2.425,-0.963,2.419,8.168,-0.0230,0.058,0.195,0.033,0.220,4.441E-14,7.8750E-4,0.005,1.076E-15
2.450,-0.900,2.608,6.912,-0.0215,0.062,0.165,0.039,0.251,0.628,9.3750E-4,0.006,0.015
2.475,-0.833,2.765,5.655,-0.0199,0.066,0.135,0.046,0.251,-0.628,0.0011,0.006,-0.015
2.500,-0.762,2.890,4.398,-0.0182,0.069,0.105,0.052,0.220,-1.257,0.0012,0.005,-0.030
2.525,-0.688,2.985,3.770,-0.0164,0.071,0.090,0.057,0.188,3.886E-14,0.0013,0.004,9.368E-16
2.550,-0.613,3.079,3.770,-0.0146,0.074,0.090,0.061,0.220,0.628,0.0015,0.005,0.015
2.575,-0.534,3.173,1.885,-0.0127,0.076,0.045,0.068,0.220,-1.257,0.0016,0.005,-0.030
2.600,-0.454,3.173,-5.596E-13,-0.0108,0.076,-1.305E-14,0.072,0.157,-1.257,0.0017,0.004,-0.030
2.625,-0.375,3.173,0.628,-0.0090,0.076,0.015,0.075,0.157,-2.776E-14,0.0018,0.004,-5.811E-16
2.650,-0.295,3.204,-0.628,-0.0070,0.076,-0.015,0.080,0.157,-1.257,0.0019,0.004,-0.030
2.675,-0.215,3.142,-3.770,-0.0051,0.075,-0.090,0.083,0.094,-1.257,0.0020,0.002,-0.030
2.700,-0.138,3.016,-3.770,-0.0033,0.072,-0.090,0.085,0.094,0.000,0.0020,0.002,-8.674E-17
2.725,-0.064,2.953,-3.142,-0.0015,0.071,-0.075,0.088,0.094,-0.628,0.0021,0.002,-0.015
2.750,0.009,2.859,-6.283,2.2500E-4,0.068,-0.150,0.090,0.063,-1.257,0.0021,0.002,-0.030
2.775,0.079,2.639,-8.796,0.0019,0.063,-0.210,0.091,0.031,-1.257,0.0022,7.500E-4,-0.030
2.800,0.141,2.419,-8.168,0.0034,0.058,-0.195,0.091,0.000,-0.628,0.0022,0.000,-0.015
2.825,0.199,2.231,-7.540,0.0048,0.053,-0.180,0.091,0.000,-0.628,0.0022,0.000,-0.015
2.850,0.253,2.042,-8.796,0.0060,0.049,-0.210,0.091,-0.031,-1.257,0.0022,-7.500E-4,-0.030
2.875,0.302,1.791,-11.310,0.0072,0.043,-0.270,0.090,-0.063,-0.628,0.0021,-0.002,-0.015
