运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
0.000,0.002,,,3.7500E-5,,,-0.002,,,-3.7500E-5,,
0.025,0.009,0.283,,2.2500E-4,0.007,,-0.006,-0.157,,-1.5000E-4,-0.004,
0.050,0.016,0.188,-4.398,3.7500E-4,0.004,-0.105,-0.009,-0.126,1.257,-2.2500E-4,-0.003,0.030
0.075,0.019,0.063,-5.027,4.5000E-4,0.001,-0.120,-0.013,-0.094,1.885,-3.0000E-4,-0.002,0.045
0.100,0.019,-0.063,-5.027,4.5000E-4,-0.002,-0.120,-0.014,-0.031,1.885,-3.3750E-4,-7.500E-4,0.045
0.125,0.016,-0.188,-5.027,3.7500E-4,-0.004,-0.120,-0.014,0.000,0.628,-3.3750E-4,0.000,0.015
0.150,0.009,-0.314,-4.398,2.2500E-4,-0.007,-0.105,-0.014,0.000,0.628,-3.3750E-4,0.000,0.015
0.175,1.735E-18,-0.408,-4.398,5.4210E-20,-0.010,-0.105,-0.014,0.031,1.885,-3.3750E-4,7.500E-4,0.045
0.200,-0.011,-0.534,-4.398,-2.6250E-4,-0.013,-0.105,-0.013,0.094,1.885,-3.0000E-4,0.002,0.045
0.225,-0.027,-0.628,-3.770,-6.3750E-4,-0.015,-0.090,-0.009,0.126,1.885,-2.2500E-4,0.003,0.045
0.250,-0.042,-0.723,-3.770,-0.0010,-0.017,-0.090,-0.006,0.188,1.885,-1.5000E-4,0.004,0.045
0.275,-0.063,-0.817,-2.513,-0.0015,-0.019,-0.060,8.674E-19,0.220,1.257,-2.7105E-20,0.005,0.030
0.300,-0.083,-0.848,-2.513,-0.0020,-0.020,-0.060,0.005,0.251,1.257,1.1250E-4,0.006,0.030
0.325,-0.105,-0.942,-3.142,-0.0025,-0.022,-0.075,0.013,0.283,1.257,3.0000E-4,0.007,0.030
0.350,-0.130,-1.005,-1.885,-0.0031,-0.024,-0.045,0.019,0.314,1.257,4.5000E-4,0.008,0.030
0.375,-0.156,-1.037,-1.257,-0.0037,-0.025,-0.030,0.028,0.346,0.628,6.7500E-4,0.008,0.015
0.400,-0.182,-1.068,-0.628,-0.0043,-0.025,-0.015,0.036,0.346,0.628,8.6250E-4,0.008,0.015
0.425,-0.209,-1.068,-2.220E-14,-0.0050,-0.026,-6.245E-16,0.046,0.377,0.628,0.0011,0.009,0.015
0.450,-0.236,-1.068,-1.332E-14,-0.0056,-0.026,0.000,0.055,0.377,-0.628,0.0013,0.009,-0.015
0.475,-0.262,-1.068,0.628,-0.0063,-0.026,0.015,0.064,0.346,-1.885,0.0015,0.008,-0.045
0.500,-0.289,-1.037,1.257,-0.0069,-0.025,0.030,0.072,0.283,-1.885,0.0017,0.007,-0.045
0.525,-0.314,-1.005,1.257,-0.0075,-0.024,0.030,0.079,0.251,-6.661E-15,0.0019,0.006,1.735E-17
0.550,-0.339,-0.974,1.885,-0.0081,-0.023,0.045,0.085,0.283,0.628,0.0020,0.007,0.015
0.575,-0.363,-0.911,3.142,-0.0087,-0.022,0.075,0.093,0.283,-0.628,0.0022,0.007,-0.015
0.600,-0.385,-0.817,3.142,-0.0092,-0.020,0.075,0.099,0.251,-0.628,0.0024,0.006,-0.015
