运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
0.710,4.959,-5.341,-31.416,0.1184,-0.127,-0.750,,,,,,
0.720,4.904,-5.576,-27.489,0.1171,-0.133,-0.656,,,,,,
0.730,4.847,-5.890,-31.416,0.1157,-0.141,-0.750,,,,,,
0.740,4.786,-6.205,-31.416,0.1143,-0.148,-0.750,,,,,,
0.750,4.723,-6.519,-31.416,0.1128,-0.156,-0.750,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.760,4.656,-6.833,-27.489,0.1111,-0.163,-0.656,,,,,,
0.770,4.587,-7.069,-23.562,0.1095,-0.169,-0.563,,,,,,
0.780,4.514,-7.304,-23.562,0.1078,-0.174,-0.563,,,,,,
0.790,4.441,-7.540,-23.562,0.1060,-0.180,-0.563,,,,,,
0.800,4.364,-7.775,-19.635,0.1042,-0.186,-0.469,0.003,0.000,0.000,7.5000E-5,0.000,0.000
0.810,4.285,-7.933,-19.635,0.1023,-0.189,-0.469,,,,,,
0.820,4.205,-8.168,-23.562,0.1004,-0.195,-0.562,,,,,,
0.830,4.122,-8.404,-23.562,0.0984,-0.201,-0.562,,,,,,
0.840,4.037,-8.639,-19.635,0.0964,-0.206,-0.469,,,,,,
0.850,3.949,-8.796,-15.708,0.0943,-0.210,-0.375,0.003,0.000,-0.157,7.5000E-5,0.000,-0.004
0.860,3.861,-8.954,-19.635,0.0922,-0.214,-0.469,,,,,,
0.870,3.770,-9.189,-15.708,0.0900,-0.219,-0.375,,,,,,
0.880,3.677,-9.268,-7.854,0.0878,-0.221,-0.188,,,,,,
0.890,3.585,-9.346,-11.781,0.0856,-0.223,-0.281,,,,,,
0.900,3.490,-9.503,-11.781,0.0833,-0.227,-0.281,0.003,-0.016,-0.157,7.5000E-5,-3.750E-4,-0.004
0.910,3.394,-9.582,-7.854,0.0810,-0.229,-0.187,,,,,,
0.920,3.299,-9.660,-7.854,0.0787,-0.231,-0.187,,,,,,
0.930,3.201,-9.739,0.000,0.0764,-0.232,0.000,,,,,,
0.940,3.104,-9.660,1.066E-12,0.0741,-0.231,-3.469E-14,,,,,,
0.950,3.008,-9.739,-7.854,0.0718,-0.232,-0.188,0.002,-0.016,3.469E-16,3.7500E-5,-3.750E-4,8.132E-18
0.960,2.909,-9.817,7.854,0.0694,-0.234,0.188,,,,,,
0.970,2.812,-9.582,11.781,0.0671,-0.229,0.281,,,,,,
0.980,2.717,-9.582,0.000,0.0649,-0.229,0.000,,,,,,
0.990,2.620,-9.582,7.854,0.0625,-0.229,0.187,,,,,,
1.000,2.526,-9.425,7.854,0.0603,-0.225,0.187,0.002,-0.016,0.000,3.7500E-5,-3.750E-4,0.000
1.010,2.432,-9.425,0.000,0.0580,-0.225,0.000,,,,,,
1.020,2.337,-9.425,7.854,0.0558,-0.225,0.188,,,,,,
1.030,2.243,-9.268,15.708,0.0535,-0.221,0.375,,,,,,
1.040,2.152,-9.111,7.854,0.0514,-0.217,0.187,,,,,,
1.050,2.061,-9.111,7.854,0.0492,-0.218,0.187,0.000,-0.016,0.157,0.0000,-3.750E-4,0.004
1.060,1.970,-8.954,19.635,0.0470,-0.214,0.469,,,,,,
1.070,1.882,-8.718,15.708,0.0449,-0.208,0.375,,,,,,
1.080,1.795,-8.639,11.781,0.0429,-0.206,0.281,,,,,,
1.090,1.709,-8.482,23.562,0.0408,-0.202,0.563,,,,,,
1.100,1.626,-8.168,19.635,0.0388,-0.195,0.469,0.000,0.000,0.157,0.0000,0.000,0.004
1.110,1.546,-8.090,11.781,0.0369,-0.193,0.281,,,,,,
1.120,1.464,-7.933,23.562,0.0350,-0.189,0.562,,,,,,
1.130,1.387,-7.618,27.489,0.0331,-0.182,0.656,,,,,,
1.140,1.312,-7.383,23.562,0.0313,-0.176,0.562,,,,,,
1.150,1.239,-7.147,27.489,0.0296,-0.171,0.656,0.000,0.000,0.000,0.0000,0.000,0.000
1.160,1.169,-6.833,31.416,0.0279,-0.163,0.750,,,,,,
1.170,1.103,-6.519,19.635,0.0263,-0.156,0.469,,,,,,
1.180,1.038,-6.440,19.635,0.0248,-0.154,0.469,,,,,,
1.190,0.974,-6.126,35.343,0.0232,-0.146,0.844,,,,,,
1.200,0.916,-5.733,31.416,0.0219,-0.137,0.750,0.000,0.000,0.000,0.0000,0.000,0.000
1.210,0.859,-5.498,23.562,0.0205,-0.131,0.563,,,,,,
1.220,0.806,-5.262,27.489,0.0192,-0.126,0.656,,,,,,
1.230,0.754,-4.948,39.270,0.0180,-0.118,0.937,,,,,,
1.240,0.707,-4.477,35.343,0.0169,-0.107,0.844,,,,,,
1.250,0.664,-4.241,27.489,0.0159,-0.101,0.656,0.000,0.000,0.000,0.0000,0.000,0.000
1.260,0.622,-3.927,35.343,0.0148,-0.094,0.844,,,,,,
1.270,0.586,-3.534,35.343,0.0140,-0.084,0.844,,,,,,
1.280,0.551,-3.220,35.343,0.0132,-0.077,0.844,,,,,,
1.290,0.522,-2.827,35.343,0.0125,-0.067,0.844,,,,,,
1.300,0.495,-2.513,35.343,0.0118,-0.060,0.844,0.000,0.000,0.000,0.0000,0.000,0.000
1.310,0.471,-2.121,39.270,0.0112,-0.051,0.937,,,,,,
1.320,0.452,-1.728,35.343,0.0108,-0.041,0.844,,,,,,
1.330,0.437,-1.414,35.343,0.0104,-0.034,0.844,,,,,,
1.340,0.424,-1.021,39.270,0.0101,-0.024,0.938,,,,,,
1.350,0.416,-0.628,35.343,0.0099,-0.015,0.844,0.000,0.000,0.000,0.0000,0.000,0.000
1.360,0.412,-0.314,35.343,0.0098,-0.007,0.844,,,,,,
1.370,0.410,0.079,35.343,0.0098,0.002,0.844,,,,,,
1.380,0.413,0.393,35.343,0.0099,0.009,0.844,,,,,,
1.390,0.418,0.785,39.270,0.0100,0.019,0.937,,,,,,
1.400,0.429,1.178,35.343,0.0102,0.028,0.844,0.000,0.000,0.000,0.0000,0.000,0.000
1.410,0.441,1.492,39.270,0.0105,0.036,0.937,,,,,,
1.420,0.459,1.963,39.270,0.0109,0.047,0.937,,,,,,
1.430,0.481,2.278,31.416,0.0115,0.054,0.750,,,,,,
1.440,0.504,2.592,35.343,0.0120,0.062,0.844,,,,,,
1.450,0.533,2.985,35.343,0.0127,0.071,0.844,0.000,0.000,0.000,0.0000,0.000,0.000
