运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
0.000,-0.002,,,-3.7500E-5,,,0.000,,,0.0000,,
0.025,-0.013,-0.597,,-3.0000E-4,-0.014,,-0.002,-0.063,,-3.7500E-5,-0.002,
0.050,-0.031,-0.880,-10.681,-7.5000E-4,-0.021,-0.255,-0.003,-0.031,1.257,-7.5000E-5,-7.500E-4,0.030
0.075,-0.057,-1.131,-10.053,-0.0013,-0.027,-0.240,-0.003,0.000,1.257,-7.5000E-5,0.000,0.030
0.100,-0.088,-1.382,-9.425,-0.0021,-0.033,-0.225,-0.003,0.031,1.257,-7.5000E-5,7.500E-4,0.030
0.125,-0.126,-1.602,-8.168,-0.0030,-0.038,-0.195,-0.002,0.063,1.257,-3.7500E-5,0.001,0.030
0.150,-0.168,-1.791,-8.168,-0.0040,-0.043,-0.195,0.000,0.094,1.885,0.0000,0.002,0.045
0.175,-0.215,-2.011,-7.540,-0.0051,-0.048,-0.180,0.003,0.157,1.885,7.5000E-5,0.004,0.045
0.200,-0.269,-2.168,-5.655,-0.0064,-0.052,-0.135,0.008,0.188,0.628,1.8750E-4,0.005,0.015
0.225,-0.324,-2.293,-5.027,-0.0077,-0.055,-0.120,0.013,0.188,0.628,3.0000E-4,0.005,0.015
0.250,-0.383,-2.419,-3.770,-0.0092,-0.058,-0.090,0.017,0.220,1.885,4.1250E-4,0.005,0.045
0.275,-0.445,-2.482,-3.142,-0.0106,-0.059,-0.075,0.024,0.283,1.257,5.6250E-4,0.007,0.030
0.300,-0.507,-2.576,-3.142,-0.0121,-0.062,-0.075,0.031,0.283,6.661E-15,7.5000E-4,0.007,8.674E-17
0.325,-0.573,-2.639,-0.628,-0.0137,-0.063,-0.015,0.038,0.283,1.257,9.0000E-4,0.007,0.030
0.350,-0.639,-2.608,1.257,-0.0153,-0.062,0.030,0.046,0.346,1.257,0.0011,0.008,0.030
0.375,-0.704,-2.576,1.257,-0.0168,-0.062,0.030,0.055,0.346,-4.441E-15,0.0013,0.008,-2.082E-16
0.400,-0.768,-2.545,1.885,-0.0183,-0.061,0.045,0.063,0.346,5.551E-15,0.0015,0.008,0.000
0.425,-0.831,-2.482,2.513,-0.0198,-0.059,0.060,0.072,0.346,-1.257,0.0017,0.008,-0.030
0.450,-0.892,-2.419,3.142,-0.0213,-0.058,0.075,0.080,0.283,-1.885,0.0019,0.007,-0.045
0.475,-0.952,-2.325,5.027,-0.0227,-0.056,0.120,0.086,0.251,-0.628,0.0021,0.006,-0.015
0.500,-1.008,-2.168,6.912,-0.0241,-0.052,0.165,0.093,0.251,-5.551E-15,0.0022,0.006,-1.388E-16
0.525,-1.060,-1.979,7.540,-0.0253,-0.047,0.180,0.099,0.251,-5.551E-15,0.0024,0.006,-1.388E-16
0.550,-1.107,-1.791,7.540,-0.0264,-0.043,0.180,0.105,0.251,0.000,0.0025,0.006,0.000
0.575,-1.150,-1.602,8.168,-0.0275,-0.038,0.195,0.112,0.251,-0.628,0.0027,0.006,-0.015
0.600,-1.188,-1.382,9.425,-0.0284,-0.033,0.225,0.118,0.220,-1.257,0.0028,0.005,-0.030
0.625,-1.219,-1.131,10.053,-0.0291,-0.027,0.240,0.123,0.188,-0.628,0.0029,0.005,-0.015
0.650,-1.244,-0.880,10.053,-0.0297,-0.021,0.240,0.127,0.188,-0.628,0.0030,0.005,-0.015
0.675,-1.263,-0.628,10.053,-0.0302,-0.015,0.240,0.132,0.157,-1.257,0.0032,0.004,-0.030
0.700,-1.275,-0.377,10.053,-0.0305,-0.009,0.240,0.135,0.126,-0.628,0.0032,0.003,-0.015
0.725,-1.282,-0.126,10.681,-0.0306,-0.003,0.255,0.138,0.126,-0.628,0.0033,0.003,-0.015
0.750,-1.282,0.157,11.310,-0.0306,0.004,0.270,0.141,0.094,-1.257,0.0034,0.002,-0.030
0.775,-1.274,0.440,10.681,-0.0304,0.011,0.255,0.143,0.063,-0.628,0.0034,0.002,-0.015
0.800,-1.260,0.691,10.053,-0.0301,0.016,0.240,0.145,0.063,-0.628,0.0035,0.002,-0.015
0.825,-1.239,0.942,10.053,-0.0296,0.022,0.240,0.146,0.031,-1.885,0.0035,7.500E-4,-0.045
