运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
0.000,-0.013,,,-3.0000E-4,,,-0.002,,,-3.7500E-5,,
0.025,-0.082,-2.796,,-0.0020,-0.067,,-0.009,-0.283,,-2.2500E-4,-0.007,
0.050,-0.152,-2.827,1.776E-14,-0.0036,-0.067,0.000,-0.016,-0.283,-0.628,-3.7500E-4,-0.007,-0.015
0.075,-0.223,-2.796,1.885,-0.0053,-0.067,0.045,-0.024,-0.314,-1.110E-15,-5.6250E-4,-0.008,0.000
0.100,-0.292,-2.733,1.885,-0.0070,-0.065,0.045,-0.031,-0.283,1.257,-7.5000E-4,-0.007,0.030
0.125,-0.360,-2.702,1.885,-0.0086,-0.064,0.045,-0.038,-0.251,1.257,-9.0000E-4,-0.006,0.030
0.150,-0.427,-2.639,3.770,-0.0102,-0.063,0.090,-0.044,-0.220,1.257,-0.0010,-0.005,0.030
0.175,-0.492,-2.513,5.027,-0.0117,-0.060,0.120,-0.049,-0.188,1.257,-0.0012,-0.004,0.030
0.200,-0.553,-2.388,5.027,-0.0132,-0.057,0.120,-0.053,-0.157,1.885,-0.0013,-0.004,0.045
0.225,-0.611,-2.262,6.283,-0.0146,-0.054,0.150,-0.057,-0.094,1.885,-0.0013,-0.002,0.045
0.250,-0.666,-2.073,7.540,-0.0159,-0.049,0.180,-0.058,-0.063,0.628,-0.0014,-0.001,0.015
0.275,-0.715,-1.885,6.912,-0.0171,-0.045,0.165,-0.060,-0.063,0.628,-0.0014,-0.001,0.015
0.300,-0.760,-1.728,8.168,-0.0182,-0.041,0.195,-0.061,-0.031,1.257,-0.0015,-7.500E-4,0.030
0.325,-0.801,-1.477,10.053,-0.0191,-0.035,0.240,-0.061,0.000,0.628,-0.0015,0.000,0.015
