运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
0.000,-0.008,,,-1.8750E-4,,,-0.002,,,-3.7500E-5,,
0.025,-0.057,-1.948,,-0.0013,-0.046,,-0.009,-0.314,,-2.2500E-4,-0.008,
0.050,-0.105,-1.948,-8.882E-15,-0.0025,-0.046,0.000,-0.017,-0.283,0.628,-4.1250E-4,-0.007,0.015
0.075,-0.154,-1.948,-1.776E-14,-0.0037,-0.046,-5.551E-16,-0.024,-0.283,-1.110E-15,-5.6250E-4,-0.007,-6.939E-17
0.100,-0.203,-1.948,0.628,-0.0048,-0.047,0.015,-0.031,-0.283,0.628,-7.5000E-4,-0.007,0.015
0.125,-0.251,-1.916,1.257,-0.0060,-0.046,0.030,-0.038,-0.251,0.628,-9.0000E-4,-0.006,0.015
0.150,-0.298,-1.885,1.885,-0.0071,-0.045,0.045,-0.044,-0.251,-3.331E-15,-0.0010,-0.006,-6.939E-17
0.175,-0.346,-1.822,2.513,-0.0083,-0.044,0.060,-0.050,-0.251,1.257,-0.0012,-0.006,0.030
0.200,-0.390,-1.759,3.142,-0.0093,-0.042,0.075,-0.057,-0.188,1.885,-0.0013,-0.004,0.045
0.225,-0.434,-1.665,4.398,-0.0104,-0.040,0.105,-0.060,-0.157,1.257,-0.0014,-0.004,0.030
0.250,-0.473,-1.539,3.770,-0.0113,-0.037,0.090,-0.064,-0.126,1.885,-0.0015,-0.003,0.045
0.275,-0.511,-1.477,3.770,-0.0122,-0.035,0.090,-0.066,-0.063,1.257,-0.0016,-0.001,0.030
0.300,-0.547,-1.351,6.283,-0.0131,-0.032,0.150,-0.068,-0.063,-1.388E-15,-0.0016,-0.002,-3.469E-17
0.325,-0.578,-1.162,6.283,-0.0138,-0.028,0.150,-0.069,-0.063,0.628,-0.0016,-0.002,0.015
0.350,-0.605,-1.037,5.655,-0.0144,-0.025,0.135,-0.071,-0.031,1.885,-0.0017,-7.500E-4,0.045
0.375,-0.630,-0.880,6.283,-0.0150,-0.021,0.150,-0.071,0.031,1.257,-0.0017,7.500E-4,0.030
0.400,-0.649,-0.723,6.283,-0.0155,-0.017,0.150,-0.069,0.031,0.000,-0.0016,7.500E-4,0.000
0.425,-0.666,-0.565,7.540,-0.0159,-0.014,0.180,-0.069,0.031,0.628,-0.0016,7.500E-4,0.015
0.450,-0.677,-0.346,7.540,-0.0162,-0.008,0.180,-0.068,0.063,1.257,-0.0016,0.002,0.030
0.475,-0.683,-0.188,6.283,-0.0163,-0.004,0.150,-0.066,0.094,1.257,-0.0016,0.002,0.030
0.500,-0.686,-0.031,6.912,-0.0164,-7.500E-4,0.165,-0.063,0.126,1.257,-0.0015,0.003,0.030
0.525,-0.685,0.157,7.540,-0.0164,0.004,0.180,-0.060,0.157,1.885,-0.0014,0.004,0.045
0.550,-0.679,0.346,7.540,-0.0162,0.008,0.180,-0.055,0.220,1.257,-0.0013,0.005,0.030
0.575,-0.668,0.534,6.912,-0.0159,0.013,0.165,-0.049,0.220,9.992E-15,-0.0012,0.005,2.255E-16
0.600,-0.652,0.691,6.283,-0.0156,0.017,0.150,-0.044,0.220,0.628,-0.0010,0.005,0.015
0.625,-0.633,0.848,6.912,-0.0151,0.020,0.165,-0.038,0.251,1.257,-9.0000E-4,0.006,0.030
0.650,-0.609,1.037,6.283,-0.0146,0.025,0.150,-0.031,0.283,1.257,-7.5000E-4,0.007,0.030
0.675,-0.581,1.162,5.027,-0.0139,0.028,0.120,-0.024,0.314,0.628,-5.6250E-4,0.007,0.015
0.700,-0.551,1.288,5.655,-0.0132,0.031,0.135,-0.016,0.314,0.628,-3.7500E-4,0.007,0.015
0.725,-0.517,1.445,5.027,-0.0123,0.035,0.120,-0.008,0.346,0.628,-1.8750E-4,0.008,0.015
0.750,-0.479,1.539,3.770,-0.0114,0.037,0.090,0.002,0.346,-1.257,3.7500E-5,0.008,-0.030
0.775,-0.440,1.634,3.770,-0.0105,0.039,0.090,0.009,0.283,-1.885,2.2500E-4,0.007,-0.045
0.800,-0.397,1.728,3.142,-0.0095,0.041,0.075,0.016,0.251,-0.628,3.7500E-4,0.006,-0.015
0.825,-0.353,1.791,2.513,-0.0084,0.043,0.060,0.022,0.251,-0.628,5.2500E-4,0.006,-0.015
0.850,-0.308,1.854,1.885,-0.0074,0.044,0.045,0.028,0.220,-0.628,6.7500E-4,0.005,-0.015
0.875,-0.261,1.885,1.257,-0.0062,0.045,0.030,0.033,0.220,-8.327E-15,7.8750E-4,0.005,-2.255E-16
0.900,-0.214,1.916,1.257,-0.0051,0.046,0.030,0.039,0.220,-8.327E-15,9.3750E-4,0.005,-2.255E-16
0.925,-0.165,1.948,0.628,-0.0039,0.046,0.015,0.044,0.220,-0.628,0.0010,0.005,-0.015
0.950,-0.116,1.948,8.882E-14,-0.0028,0.046,1.804E-15,0.050,0.188,-1.257,0.0012,0.004,-0.030
0.975,-0.068,1.948,-4.441E-15,-0.0016,0.047,0.000,0.053,0.157,0.000,0.0013,0.004,0.000
1.000,-0.019,1.948,-1.885,-4.5000E-4,0.046,-0.045,0.058,0.188,0.628,0.0014,0.004,0.015
1.025,0.030,1.854,-3.770,7.1250E-4,0.044,-0.090,0.063,0.188,-0.628,0.0015,0.004,-0.015
1.050,0.074,1.759,-3.142,0.0018,0.042,-0.075,0.068,0.157,-1.885,0.0016,0.004,-0.045
1.075,0.118,1.696,-3.142,0.0028,0.041,-0.075,0.071,0.094,-1.257,0.0017,0.002,-0.030
1.100,0.159,1.602,-3.770,0.0038,0.038,-0.090,0.072,0.094,-1.665E-14,0.0017,0.002,-3.990E-16
1.125,0.198,1.508,-4.398,0.0047,0.036,-0.105,0.075,0.094,-0.628,0.0018,0.002,-0.015
1.150,0.234,1.382,-5.655,0.0056,0.033,-0.135,0.077,0.063,-0.628,0.0018,0.001,-0.015
1.175,0.267,1.225,-5.655,0.0064,0.029,-0.135,0.079,0.063,-0.628,0.0019,0.001,-0.015
1.200,0.295,1.100,-5.655,0.0070,0.026,-0.135,0.080,0.031,-1.257,0.0019,7.500E-4,-0.030
1.225,0.322,0.942,-6.912,0.0077,0.023,-0.165,0.080,0.000,-0.628,0.0019,0.000,-0.015
1.250,0.342,0.754,-6.912,0.0082,0.018,-0.165,0.080,0.000,-0.628,0.0019,0.000,-0.015
1.275,0.360,0.597,-6.912,0.0086,0.014,-0.165,0.080,-0.031,-1.257,0.0019,-7.500E-4,-0.030
1.300,0.372,0.408,-7.540,0.0089,0.010,-0.180,0.079,-0.063,-1.257,0.0019,-0.001,-0.030
1.325,0.380,0.220,-6.912,0.0091,0.005,-0.165,0.077,-0.094,-1.257,0.0018,-0.002,-0.030
1.350,0.383,0.063,-6.912,0.0091,0.002,-0.165,0.074,-0.126,-0.628,0.0018,-0.003,-0.015
1.375,0.383,-0.126,-8.168,0.0091,-0.003,-0.195,0.071,-0.126,-0.628,0.0017,-0.003,-0.015
1.400,0.377,-0.346,-7.540,0.0090,-0.008,-0.180,0.068,-0.157,-0.628,0.0016,-0.004,-0.015
1.425,0.366,-0.503,-6.283,0.0087,-0.012,-0.150,0.063,-0.157,-2.776E-15,0.0015,-0.004,0.000
1.450,0.352,-0.660,-6.283,0.0084,-0.016,-0.150,0.060,-0.157,-0.628,0.0014,-0.004,-0.015
1.475,0.333,-0.817,-6.283,0.0079,-0.020,-0.150,0.055,-0.188,-0.628,0.0013,-0.005,-0.015
1.500,0.311,-0.974,-6.912,0.0074,-0.023,-0.165,0.050,-0.188,-0.628,0.0012,-0.004,-0.015
1.525,0.284,-1.162,-6.283,0.0068,-0.028,-0.150,0.046,-0.220,-0.628,0.0011,-0.005,-0.015
1.550,0.253,-1.288,-5.027,0.0060,-0.031,-0.120,0.039,-0.220,0.000,9.3750E-4,-0.005,0.000
1.575,0.220,-1.414,-5.655,0.0052,-0.034,-0.135,0.035,-0.220,-0.628,8.2500E-4,-0.005,-0.015
1.600,0.182,-1.571,-5.027,0.0043,-0.037,-0.120,0.028,-0.251,-0.628,6.7500E-4,-0.006,-0.015
1.625,0.141,-1.665,-3.142,0.0034,-0.040,-0.075,0.022,-0.251,0.000,5.2500E-4,-0.006,0.000
1.650,0.099,-1.728,-2.513,0.0024,-0.041,-0.060,0.016,-0.251,-0.628,3.7500E-4,-0.006,-0.015
1.675,0.055,-1.791,-2.513,0.0013,-0.043,-0.060,0.009,-0.283,-1.257,2.2500E-4,-0.007,-0.030
1.700,0.009,-1.854,-3.142,2.2500E-4,-0.044,-0.075,0.002,-0.314,-0.628,3.7500E-5,-0.007,-0.015
1.725,-0.038,-1.948,-2.513,-9.0000E-4,-0.047,-0.060,-0.006,-0.314,0.000,-1.5000E-4,-0.008,0.000
1.750,-0.088,-1.979,1.643E-13,-0.0021,-0.047,4.025E-15,-0.014,-0.314,0.628,-3.3750E-4,-0.007,0.015
1.775,-0.137,-1.948,0.628,-0.0033,-0.046,0.015,-0.022,-0.283,0.628,-5.2500E-4,-0.007,0.015
1.800,-0.185,-1.948,0.628,-0.0044,-0.046,0.015,-0.028,-0.283,1.110E-15,-6.7500E-4,-0.007,0.000
1.825,-0.234,-1.916,1.257,-0.0056,-0.046,0.030,-0.036,-0.283,0.628,-8.6250E-4,-0.007,0.015
1.850,-0.281,-1.885,1.257,-0.0067,-0.045,0.030,-0.042,-0.251,1.257,-0.0010,-0.006,0.030
1.875,-0.328,-1.854,1.885,-0.0078,-0.044,0.045,-0.049,-0.220,0.628,-0.0012,-0.005,0.015
1.900,-0.374,-1.791,3.142,-0.0089,-0.043,0.075,-0.053,-0.220,0.628,-0.0013,-0.005,0.015
1.925,-0.418,-1.696,3.770,-0.0100,-0.040,0.090,-0.060,-0.188,1.885,-0.0014,-0.004,0.045
1.950,-0.459,-1.602,3.770,-0.0110,-0.038,0.090,-0.063,-0.126,1.885,-0.0015,-0.003,0.045
1.975,-0.498,-1.508,4.398,-0.0119,-0.036,0.105,-0.066,-0.094,1.257,-0.0016,-0.002,0.030
2.000,-0.534,-1.382,5.655,-0.0128,-0.033,0.135,-0.068,-0.063,0.628,-0.0016,-0.002,0.015
2.025,-0.567,-1.225,6.283,-0.0135,-0.029,0.150,-0.069,-0.063,0.628,-0.0016,-0.001,0.015
2.050,-0.595,-1.068,5.655,-0.0142,-0.025,0.135,-0.071,-0.031,1.257,-0.0017,-7.500E-4,0.030
2.075,-0.620,-0.942,5.655,-0.0148,-0.023,0.135,-0.071,0.000,1.257,-0.0017,0.000,0.030
2.100,-0.642,-0.785,6.912,-0.0153,-0.019,0.165,-0.071,0.031,1.257,-0.0017,7.500E-4,0.030
2.125,-0.660,-0.597,6.912,-0.0158,-0.014,0.165,-0.069,0.063,0.628,-0.0016,0.002,0.015
2.150,-0.672,-0.440,6.283,-0.0161,-0.011,0.150,-0.068,0.063,-1.110E-14,-0.0016,0.002,-2.689E-16
2.175,-0.682,-0.283,6.912,-0.0163,-0.007,0.165,-0.066,0.063,0.628,-0.0016,0.001,0.015
2.200,-0.686,-0.094,7.540,-0.0164,-0.002,0.180,-0.064,0.094,1.885,-0.0015,0.002,0.045
2.225,-0.686,0.094,7.540,-0.0164,0.002,0.180,-0.061,0.157,1.885,-0.0015,0.004,0.045
2.250,-0.682,0.283,7.540,-0.0163,0.007,0.180,-0.057,0.188,0.628,-0.0013,0.005,0.015
2.275,-0.672,0.471,6.912,-0.0161,0.011,0.165,-0.052,0.188,0.628,-0.0012,0.004,0.015
2.300,-0.658,0.628,6.283,-0.0157,0.015,0.150,-0.047,0.220,1.885,-0.0011,0.005,0.045
2.325,-0.641,0.785,6.912,-0.0153,0.019,0.165,-0.041,0.283,1.257,-9.7500E-4,0.007,0.030
2.350,-0.619,0.974,6.912,-0.0148,0.023,0.165,-0.033,0.283,-4.996E-14,-7.8750E-4,0.007,-1.180E-15
2.375,-0.592,1.131,5.655,-0.0141,0.027,0.135,-0.027,0.283,0.628,-6.3750E-4,0.007,0.015
2.400,-0.562,1.257,4.398,-0.0134,0.030,0.105,-0.019,0.314,0.628,-4.5000E-4,0.007,0.015
2.425,-0.529,1.351,4.398,-0.0126,0.032,0.105,-0.011,0.314,0.628,-2.6250E-4,0.008,0.015
2.450,-0.495,1.477,5.655,-0.0118,0.035,0.135,-0.003,0.346,0.628,-7.5000E-5,0.008,0.015
2.475,-0.456,1.634,4.398,-0.0109,0.039,0.105,0.006,0.346,-1.885,1.5000E-4,0.008,-0.045
2.500,-0.413,1.696,2.513,-0.0099,0.040,0.060,0.014,0.251,-2.513,3.3750E-4,0.006,-0.060
2.525,-0.371,1.759,3.142,-0.0089,0.042,0.075,0.019,0.220,4.441E-14,4.5000E-4,0.005,1.076E-15
2.550,-0.325,1.854,2.513,-0.0078,0.044,0.060,0.025,0.251,3.941E-14,6.0000E-4,0.006,9.368E-16
2.575,-0.278,1.885,1.257,-0.0066,0.045,0.030,0.031,0.220,-0.628,7.5000E-4,0.005,-0.015
2.600,-0.231,1.916,1.257,-0.0055,0.046,0.030,0.036,0.220,-3.775E-14,8.6250E-4,0.005,-9.368E-16
2.625,-0.182,1.948,0.628,-0.0044,0.046,0.015,0.042,0.220,-0.628,0.0010,0.005,-0.015
2.650,-0.134,1.948,3.464E-13,-0.0032,0.046,8.049E-15,0.047,0.188,-0.628,0.0011,0.004,-0.015
2.675,-0.085,1.948,3.419E-13,-0.0020,0.047,8.188E-15,0.052,0.188,3.331E-14,0.0012,0.005,7.980E-16
2.700,-0.036,1.948,-1.885,-8.6250E-4,0.047,-0.045,0.057,0.188,-2.776E-15,0.0013,0.005,0.000
2.725,0.013,1.854,-3.142,3.0000E-4,0.044,-0.075,0.061,0.188,-0.628,0.0015,0.005,-0.015
2.750,0.057,1.791,-1.885,0.0013,0.043,-0.045,0.066,0.157,-1.257,0.0016,0.004,-0.030
2.775,0.102,1.759,-3.142,0.0024,0.042,-0.075,0.069,0.126,-1.257,0.0016,0.003,-0.030
2.800,0.145,1.634,-4.398,0.0034,0.039,-0.105,0.072,0.094,-0.628,0.0017,0.002,-0.015
2.825,0.184,1.539,-4.398,0.0044,0.037,-0.105,0.074,0.094,1.665E-14,0.0018,0.002,3.990E-16
2.850,0.221,1.414,-5.027,0.0053,0.034,-0.120,0.077,0.094,-0.628,0.0018,0.002,-0.015
2.875,0.254,1.288,-5.027,0.0061,0.031,-0.120,0.079,0.063,-1.257,0.0019,0.002,-0.030
2.900,0.286,1.162,-6.283,0.0068,0.028,-0.150,0.080,0.031,-1.257,0.0019,7.500E-4,-0.030
2.925,0.313,0.974,-6.912,0.0075,0.023,-0.165,0.080,0.000,-0.628,0.0019,0.000,-0.015
2.950,0.335,0.817,-6.283,0.0080,0.020,-0.150,0.080,0.000,-0.628,0.0019,0.000,-0.015
2.975,0.353,0.660,-6.912,0.0084,0.016,-0.165,0.080,-0.031,-1.257,0.0019,-7.500E-4,-0.030
3.000,0.368,0.471,-6.912,0.0088,0.011,-0.165,0.079,-0.063,-0.628,0.0019,-0.001,-0.015
3.025,0.377,0.314,-6.912,0.0090,0.007,-0.165,0.077,-0.063,-0.628,0.0018,-0.001,-0.015
3.050,0.383,0.126,-7.540,0.0091,0.003,-0.180,0.075,-0.094,-1.257,0.0018,-0.002,-0.030
3.075,0.383,-0.063,-7.540,0.0091,-0.002,-0.180,0.072,-0.126,-1.257,0.0017,-0.003,-0.030
3.100,0.380,-0.251,-7.540,0.0091,-0.006,-0.180,0.069,-0.157,-0.628,0.0016,-0.004,-0.015
3.125,0.371,-0.440,-6.912,0.0088,-0.010,-0.165,0.064,-0.157,2.498E-14,0.0015,-0.004,6.679E-16
3.150,0.358,-0.597,-6.283,0.0085,-0.014,-0.150,0.061,-0.157,-0.628,0.0015,-0.004,-0.015
3.175,0.341,-0.754,-6.912,0.0081,-0.018,-0.165,0.057,-0.188,-0.628,0.0013,-0.005,-0.015
3.200,0.320,-0.942,-6.912,0.0076,-0.023,-0.165,0.052,-0.188,-0.628,0.0012,-0.005,-0.015
3.225,0.294,-1.100,-5.655,0.0070,-0.026,-0.135,0.047,-0.220,-0.628,0.0011,-0.005,-0.015
3.250,0.265,-1.225,-5.655,0.0063,-0.029,-0.135,0.041,-0.220,3.886E-14,9.7500E-4,-0.005,9.368E-16
3.275,0.232,-1.382,-5.655,0.0055,-0.033,-0.135,0.036,-0.220,-0.628,8.6250E-4,-0.005,-0.015
3.300,0.196,-1.508,-4.398,0.0047,-0.036,-0.105,0.030,-0.251,-3.775E-14,7.1250E-4,-0.006,-9.368E-16
3.325,0.157,-1.602,-3.770,0.0037,-0.038,-0.090,0.024,-0.220,1.110E-15,5.6250E-4,-0.005,-1.735E-17
3.350,0.116,-1.696,-3.770,0.0028,-0.041,-0.090,0.019,-0.251,-1.257,4.5000E-4,-0.006,-0.030
3.375,0.072,-1.791,-3.142,0.0017,-0.043,-0.075,0.011,-0.283,-0.628,2.6250E-4,-0.007,-0.015
3.400,0.027,-1.854,-2.513,6.3750E-4,-0.044,-0.060,0.005,-0.283,-0.628,1.1250E-4,-0.007,-0.015
3.425,-0.020,-1.916,-1.885,-4.8750E-4,-0.046,-0.045,-0.003,-0.314,-0.628,-7.5000E-5,-0.008,-0.015
3.450,-0.069,-1.948,-0.628,-0.0017,-0.047,-0.015,-0.011,-0.314,1.110E-15,-2.6250E-4,-0.008,0.000
3.475,-0.118,-1.948,0.000,-0.0028,-0.047,-4.163E-16,-0.019,-0.314,0.628,-4.5000E-4,-0.008,0.015
3.500,-0.167,-1.948,3.464E-13,-0.0040,-0.047,7.910E-15,-0.027,-0.283,1.257,-6.3750E-4,-0.007,0.030
3.525,-0.215,-1.948,0.628,-0.0051,-0.046,0.015,-0.033,-0.251,0.628,-7.8750E-4,-0.006,0.015
3.550,-0.264,-1.916,1.885,-0.0063,-0.046,0.045,-0.039,-0.251,-4.441E-14,-9.3750E-4,-0.006,-1.110E-15
3.575,-0.311,-1.854,1.885,-0.0074,-0.044,0.045,-0.046,-0.251,0.628,-0.0011,-0.006,0.015
3.600,-0.357,-1.822,1.885,-0.0085,-0.044,0.045,-0.052,-0.220,1.257,-0.0012,-0.005,0.030
3.625,-0.402,-1.759,3.770,-0.0096,-0.042,0.090,-0.057,-0.188,1.257,-0.0013,-0.004,0.030
3.650,-0.445,-1.634,5.027,-0.0106,-0.039,0.120,-0.061,-0.157,1.885,-0.0015,-0.004,0.045
3.675,-0.484,-1.508,4.398,-0.0116,-0.036,0.105,-0.064,-0.094,1.257,-0.0015,-0.002,0.030
3.700,-0.520,-1.414,3.770,-0.0124,-0.034,0.090,-0.066,-0.094,0.628,-0.0016,-0.002,0.015
3.725,-0.554,-1.319,5.027,-0.0132,-0.032,0.120,-0.069,-0.063,1.257,-0.0017,-0.002,0.030
