运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
1.175,-1.464,2.356,13.823,-0.0349,0.056,0.330,0.055,0.031,-0.628,0.0013,7.500E-4,-0.015
1.200,-1.401,2.670,12.566,-0.0334,0.064,0.300,0.057,0.031,-1.257,0.0013,7.500E-4,-0.030
1.225,-1.330,2.985,12.566,-0.0318,0.071,0.300,0.057,-0.031,-1.885,0.0013,-7.500E-4,-0.045
1.250,-1.252,3.299,11.310,-0.0299,0.079,0.270,0.055,-0.063,-0.628,0.0013,-0.001,-0.015
1.275,-1.166,3.550,9.425,-0.0278,0.085,0.225,0.053,-0.063,-0.628,0.0013,-0.001,-0.015
1.300,-1.074,3.770,7.540,-0.0256,0.090,0.180,0.052,-0.094,-1.257,0.0012,-0.002,-0.030
1.325,-0.977,3.927,5.655,-0.0233,0.094,0.135,0.049,-0.126,-1.257,0.0012,-0.003,-0.030
1.350,-0.878,4.053,4.398,-0.0210,0.097,0.105,0.046,-0.157,-1.257,0.0011,-0.004,-0.030
1.375,-0.774,4.147,2.513,-0.0185,0.099,0.060,0.041,-0.188,-0.628,9.7500E-4,-0.004,-0.015
1.400,-0.671,4.178,1.885,-0.0160,0.100,0.045,0.036,-0.188,1.665E-15,8.6250E-4,-0.004,0.000
1.425,-0.565,4.241,1.257,-0.0135,0.101,0.030,0.031,-0.188,2.776E-15,7.5000E-4,-0.004,0.000
1.450,-0.459,4.241,-1.257,-0.0109,0.101,-0.030,0.027,-0.188,-0.628,6.3750E-4,-0.004,-0.015
1.475,-0.353,4.178,-3.142,-0.0084,0.100,-0.075,0.022,-0.220,-1.257,5.2500E-4,-0.005,-0.030
1.500,-0.250,4.084,-5.027,-0.0060,0.097,-0.120,0.016,-0.251,-0.628,3.7500E-4,-0.006,-0.015
