运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1,运行#1
时间 (秒 s),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²),角 (弧度 rad),角速度 (弧度/秒 rad/s),角加速度 (弧度/秒² rad/s²),位置 (米 m),速度 (米/秒 m/s),加速度 (米/秒² m/s²)
0.000,1.038,7.775,23.562,0.0248,0.186,0.562,0.000,0.000,0.000,0.0000,0.000,0.000
0.010,1.117,7.933,15.708,0.0267,0.189,0.375,,,,,,
0.020,1.197,8.090,19.635,0.0286,0.193,0.469,,,,,,
0.030,1.279,8.325,23.562,0.0305,0.199,0.563,,,,,,
0.040,1.363,8.561,15.708,0.0326,0.204,0.375,,,,,,
0.050,1.450,8.639,11.781,0.0346,0.206,0.281,0.000,0.000,0.000,0.0000,0.000,0.000
0.060,1.536,8.796,15.708,0.0367,0.210,0.375,,,,,,
0.070,1.626,8.954,7.854,0.0388,0.214,0.187,,,,,,
0.080,1.715,8.954,3.927,0.0410,0.214,0.094,,,,,,
0.090,1.805,9.032,11.781,0.0431,0.216,0.281,,,,,,
0.100,1.896,9.189,7.854,0.0453,0.219,0.187,0.000,0.000,0.000,0.0000,0.000,0.000
0.110,1.989,9.189,5.329E-13,0.0475,0.219,0.000,,,,,,
0.120,2.080,9.189,7.854,0.0497,0.219,0.187,,,,,,
0.130,2.172,9.346,7.854,0.0519,0.223,0.187,,,,,,
0.140,2.267,9.346,-3.927,0.0541,0.223,-0.094,,,,,,
0.150,2.359,9.268,3.927,0.0563,0.221,0.094,0.000,0.000,0.000,0.0000,0.000,0.000
0.160,2.452,9.425,15.708,0.0585,0.225,0.375,,,,,,
0.170,2.548,9.582,2.665E-12,0.0608,0.229,9.714E-14,,,,,,
0.180,2.644,9.425,-27.489,0.0631,0.225,-0.656,,,,,,
0.190,2.736,9.032,-11.781,0.0653,0.216,-0.281,,,,,,
0.200,2.824,9.189,23.562,0.0674,0.219,0.562,0.000,0.000,0.157,0.0000,0.000,0.004
0.210,2.920,9.503,-3.927,0.0697,0.227,-0.094,,,,,,
0.220,3.014,9.111,-31.416,0.0720,0.218,-0.750,,,,,,
0.230,3.102,8.875,0.000,0.0741,0.212,0.000,,,,,,
