% Model,Circuit.mph
% Version,COMSOL 6.1.0.252
% Date,"Apr 1 2024, 22:04"
% Dimension,2
% Nodes,159
% Expressions,1
% Description,电场模
% Length unit,m
% r,z,es.normE (V/m) @ loc=7
0.005,0.007,359240.1336556735
0.0049990116622850925,0.006900589737261975,359267.2189047503
0.004996047060149525,0.006801219284709786,359302.3650720584
0.004991107350690588,0.00670192716681593,359337.73631682654
0.004984194438455902,0.006602752218803856,359372.99454217055
0.004975311002483007,0.006503733510529348,359408.3631822233
0.00305037428427149,0.0030382810894947136,360976.20785480854
0.0029710038010332717,0.0029784161808752694,361005.67600767175
0.0028904587464167486,0.0029201411500809353,361035.4562782796
0.0028087710010900996,0.002863479062855439,361066.7727503559
0.002725972800180804,0.002808452279566124,361097.9168650763
0.002642096807569708,0.0027550825144144492,361127.8616339914
0.00255717621222135,0.0027033908928494246,361156.477216955
0.0024712446673181474,0.002653397902470067,361183.8200204809
0.004936876312061873,0.006208007399401761,359516.6499597139
0.004920153575611485,0.006110006296428159,359553.5678314025
0.004964460515662753,0.006404910268593461,359444.06007420656
0.004951647256333583,0.006306321797341085,359480.1115734696
0.0031285389259038416,0.003099712294060292,360944.634991187
0.0032054668211674996,0.0031626855147910637,360910.05467984895
0.003281127490952694,0.0032271758074203247,360874.78837877285
0.003355490945434643,0.003293157608542531,360839.00096976664
0.0034285277428731204,0.003360604787007965,360803.0775832144
0.0035002090430916928,0.0034294907009420725,360767.2714872827
0.003570506605465382,0.0034997882092181803,360731.27392004686
0.003639392574561424,0.0035714694564249294,360694.71066938393
0.0023843362249275886,0.0026051233502522447,361209.86344742903
0.002296485266746132,0.0025585863264476314,361234.68527251156
0.0022077264314883,0.002513805175462401,361258.67856632266
0.0021180947862750425,0.0024707975893812737,361282.1567302815
0.004901485733153487,0.0060123575506830325,359590.6604054654
0.004880880244814069,0.005915099988116992,359627.7459316689
0.004858345317704675,0.005818272123567759,359664.81716173876
0.0048338898716230715,0.005721912088696601,359702.42262871226
0.0037068398092290115,0.0036445062019555114,360657.50735134486
0.003772821667574996,0.003718869605657736,360619.63452560175
0.003837312018428758,0.0037945302258136624,360581.10264410847
0.003900285298361741,0.0038714580726186103,360542.169277319
0.0020276257629922374,0.002429580570095328,361305.0594525794
0.001936355035038484,0.0023901703742674925,361327.1777418873
0.0018443187056932302,0.00235258259763231,361348.37480963673
0.001751553240599639,0.0023168321356858345,361368.656506305
0.0048075234976569315,0.005626057563259483,359741.1530446392
0.004779256409963655,0.005530745710293377,359781.07423559664
0.0039617165630823695,0.003949622666980556,360503.1199098476
0.00402158153278318,0.004028993104151846,360463.7378485548
0.004079856625559603,0.0041095381139206475,360423.6865375589
0.004136518775649123,0.004191225815644433,360383.071213387
0.0041915456226535724,0.004274023974204163,360342.3853964368
0.0042449154523497325,0.004357899925740423,360301.9499960041
0.004296607139264816,0.0044428204813078504,360261.7485060486
0.004749099747033311,0.005436014196762599,359821.6779244465
0.00434660019577425,0.004528751987740759,360221.7107798628
0.0043948748148750815,0.0046156603929857825,360181.86816525046
0.0044414119062872875,0.0047035113153578315,360142.31963951804
0.004486193125575358,0.004792270116150892,360103.0442332126
0.004529200780634125,0.004881901728270561,360063.7052036958
0.004570417869539244,0.004972370719831569,360023.91036658327
0.0046098281356029246,0.00506364141745294,359983.6376706286
0.004647415983064237,0.00515567771787058,359943.17384114105
0.00471706557272869,0.005341900973229359,359862.31064742955
0.004683166516399352,0.005248443155453995,359902.76207103144
0.0016580953967414,0.0022829331512787547,361388.1401206441
0.0015639821485595436,0.0022508990494002896,361406.92669287586
0.001469250611818379,0.002220742459369728,361424.92245554714
0.0013739382134576028,0.0021924752953727915,361441.8110378722
0.001278082625012468,0.0021661087306765743,361457.43293308077
0.0011817216610992853,0.0021416531705024653,361471.8615980187
0.0010848934464920232,0.002119118295865115,361484.9901311466
9.87636342873031E-4,0.0020985130364106464,361496.89832968253
8.899888733521488E-4,0.002079845550665165,361507.8726912814
7.919896453801983E-4,0.0020631232138516413,361518.0832882973
6.936772930924969E-4,0.002048352616244987,361527.4916157193
5.95090718496212E-4,0.0020355396026597553,361535.70911634236
4.96268823864756E-4,0.0020246892303636055,361543.09037987667
3.972506503946986E-4,0.002015805790224363,361551.3453898394
2.980754001716802E-4,0.0020088928026125814,361559.4222768404
1.9878235910706849E-4,0.0020039530052542716,361564.8101795935
9.94108190900707E-5,0.002000988348778547,361570.48741151334
0,0.002,361626.8436469689
0.0049644603973402444,0.007595090718496214,359042.41527159116
0.004975310769636395,0.007496268823864756,359072.2897238068
0.004951647383755012,0.007693677293092498,359013.7185930106
0.004936876786148359,0.007791989645380201,358985.7490026192
0.004920154449334835,0.007889988873352148,358957.52248570276
0.004901486963589353,0.007987636342873031,358928.6365719636
0.004880881704134884,0.008084893446492027,358899.59441107645
0.004984194209775638,0.007397250650394701,359103.2792203763
0.004991107197387419,0.007298075400171681,359135.098460759
0.004996046994745729,0.00719878235910707,359167.3960700737
0.004999011651221452,0.0070994108190900705,359199.93431359757
0.004858346829497534,0.008181721661099288,358871.172709879
0.0048338912693234246,0.008278082625012468,358843.8270057088
0.004807524704627209,0.008373938213457603,358817.7031928743
0.004779257540630273,0.008469250611818378,358792.8506045827
0.0026421000742595773,0.01124491545234973,358330.56584812276
0.0027259760257958374,0.01119154562265357,358335.27363653365
0.0025571795186921506,0.011296607139264813,358326.67500330776
0.0024712480122592428,0.01134660019577425,358323.7401434855
0.0023843396070142193,0.011394874814875083,358321.60666783946
0.004749100950599709,0.008563982148559543,358769.20512982504
