% Model,Circuit.mph
% Version,COMSOL 6.1.0.252
% Date,"Apr 1 2024, 22:04"
% Dimension,2
% Nodes,159
% Expressions,1
% Description,电场模
% Length unit,m
% r,z,es.normE (V/m) @ loc=7
0.0031285419273813907,0.010900285298361739,358364.3843104895
0.0032054697741863416,0.010837312018428755,358370.9820898052
0.00444141367355237,0.00929648526674613,358605.55981814093
0.004394876649747756,0.009384336224927589,358587.86729254515
0.0043466020975299335,0.009471244667318145,358571.24924955703
0.004296609107150577,0.009557176212221345,358555.92218452867
0.004244917485585553,0.009642096807569705,358541.799493278
0.004191547720433877,0.009725972800180803,358528.31136765046
0.004136520937144562,0.009808771001090098,358514.74457836035
0.004079858849919068,0.009890458746416744,358500.92833728157
0.004021583819124731,0.00997100380103327,358487.36414569
0.003961718910505289,0.010050374284271487,358474.6996390509
0.003900287705939709,0.01012853892590384,358462.8566319862
0.0038373144852089374,0.010205466821167497,358451.22807140555
0.0037728241925796785,0.010281127490952693,358439.5956008733
0.003706842391457469,0.01035549094543464,358428.40413272684
0.003639395212992035,0.01042852774287312,358418.37190163287
0.0035705092990579303,0.01050020904309169,358409.68927917816
0.0035002117907818216,0.01057050660546538,358401.7856370572
0.003428530543575072,0.010639392574561424,358393.9793187873
0.003281130394342265,0.010772821667574995,358378.2463339967
0.0033554937980444905,0.010706839809229011,358386.06221362704
0.0019363585825470612,0.011609828135602924,358307.6534289961
0.001844322282129422,0.011647415983064235,358304.18946123373
0.0017515568445460067,0.01168316651639935,358301.26960232295
0.0016580990267706418,0.011717065572728691,358299.1706806297
0.0015639858032374032,0.01174909974703331,358298.0956617624
0.001469254289706624,0.011779256409963655,358297.7708084511
0.0013739424367405183,0.01180752349765693,358297.4620004861
0.0012780879113034,0.011833889871623073,358296.5405532613
0.0011817278764322421,0.011858345317704676,358294.7954673574
0.001084900011883008,0.011880880244814068,358292.68466124905
9.87642449316966E-4,0.011901485733153486,358290.98003479675
8.899937035718424E-4,0.011920153575611481,358290.2874170365
7.919926005982399E-4,0.011936876312061874,358290.6473430152
6.936782026589134E-4,0.011951647256333582,358291.31513946597
5.950897314065398E-4,0.011964460515662753,358291.3995341293
4.962664894706516E-4,0.011975311002483007,358291.16630521405
3.972477811961447E-4,0.011984194438455902,358292.46617986314
2.980728331840715E-4,0.011991107350690587,358295.2264491302
1.9878071529021412E-4,0.011996047060149527,358297.688738302
9.94102627380272E-5,0.011999011662285092,358302.6707070827
0,0.012,358359.27468313224
