in s,C1 in V
-1.8730080E-04,4.88281E-02
-1.8729120E-04,4.88281E-02
-1.8728160E-04,2.92969E-02
-1.8727200E-04,2.92969E-02
-1.8726240E-04,9.76562E-03
-1.8725280E-04,9.76562E-03
-1.8724320E-04,9.76562E-03
-1.8723360E-04,4.88281E-02
-1.8722400E-04,9.76562E-03
-1.8721440E-04,9.76562E-03
-1.8720480E-04,9.76562E-03
-1.8719520E-04,2.92969E-02
-1.8718560E-04,9.76562E-03
-1.8717600E-04,9.76562E-03
-1.8716640E-04,9.76562E-03
-1.8715680E-04,9.76562E-03
-1.8714720E-04,9.76562E-03
-1.8713760E-04,9.76562E-03
-1.8712800E-04,2.92969E-02
-1.8711840E-04,9.76562E-03
-1.8710880E-04,9.76562E-03
-1.8709920E-04,9.76562E-03
-1.8708960E-04,9.76562E-03
-1.8708000E-04,4.88281E-02
-1.8707040E-04,9.76562E-03
-1.8706080E-04,6.83594E-02
-1.8705120E-04,9.76562E-03
-1.8704160E-04,4.88281E-02
-1.8703200E-04,2.92969E-02
-1.8702240E-04,9.76562E-03
-1.8701280E-04,2.92969E-02
-1.8700320E-04,9.76562E-03
-1.8699360E-04,2.92969E-02
-1.8698400E-04,9.76562E-03
-1.8697440E-04,9.76562E-03
-1.8696480E-04,2.92969E-02
-1.8695520E-04,9.76562E-03
-1.8694560E-04,9.76562E-03
-1.8693600E-04,2.92969E-02
-1.8692640E-04,9.76562E-03
-1.8691680E-04,9.76562E-03
-1.8690720E-04,2.92969E-02
-1.8689760E-04,9.76562E-03
-1.8688800E-04,9.76562E-03
-1.8687840E-04,6.83594E-02
-1.8686880E-04,2.92969E-02
-1.8685920E-04,9.76562E-03
-1.8684960E-04,9.76562E-03
-1.8684000E-04,8.78906E-02
-1.8683040E-04,4.88281E-02
-1.8682080E-04,2.92969E-02
-1.8681120E-04,9.76562E-03
-1.8680160E-04,9.76562E-03
-1.8679200E-04,9.76562E-03
-1.8678240E-04,2.92969E-02
-1.8677280E-04,9.76562E-03
-1.8676320E-04,2.92969E-02
-1.8675360E-04,9.76562E-03
-1.8674400E-04,2.92969E-02
-1.8673440E-04,9.76562E-03
-1.8672480E-04,2.92969E-02
-1.8671520E-04,9.76562E-03
-1.8670560E-04,9.76562E-03
-1.8669600E-04,9.76562E-03
-1.8668640E-04,4.88281E-02
-1.8667680E-04,9.76562E-03
-1.8666720E-04,2.92969E-02
-1.8665760E-04,4.88281E-02
-1.8664800E-04,2.92969E-02
-1.8663840E-04,9.76562E-03
-1.8662880E-04,9.76562E-03
-1.8661920E-04,9.76562E-03
-1.8660960E-04,2.92969E-02
-1.8660000E-04,9.76562E-03
-1.8659040E-04,9.76562E-03
-1.8658080E-04,9.76562E-03
-1.8657120E-04,2.92969E-02
-1.8656160E-04,2.92969E-02
-1.8655200E-04,9.76562E-03
-1.8654240E-04,4.88281E-02
-1.8653280E-04,9.76562E-03
-1.8652320E-04,9.76562E-03
-1.8651360E-04,2.92969E-02
-1.8650400E-04,4.88281E-02
-1.8649440E-04,4.88281E-02
-1.8648480E-04,6.83594E-02
-1.8647520E-04,9.76562E-03
-1.8646560E-04,2.92969E-02
-1.8645600E-04,2.92969E-02
-1.8644640E-04,9.76562E-03
-1.8643680E-04,9.76562E-03
-1.8642720E-04,2.92969E-02
-1.8641760E-04,2.92969E-02
-1.8640800E-04,9.76562E-03
-1.8639840E-04,9.76562E-03
-1.8638880E-04,9.76562E-03
-1.8637920E-04,2.92969E-02
-1.8636960E-04,9.76562E-03
-1.8636000E-04,8.78906E-02
-1.8635040E-04,9.76562E-03
-1.8634080E-04,9.76562E-03
-1.8633120E-04,9.76562E-03
-1.8632160E-04,9.76562E-03
-1.8631200E-04,9.76562E-03
-1.8630240E-04,2.92969E-02
-1.8629280E-04,4.88281E-02
-1.8628320E-04,9.76562E-03
-1.8627360E-04,2.92969E-02
-1.8626400E-04,2.92969E-02
-1.8625440E-04,9.76562E-03
-1.8624480E-04,9.76562E-03
-1.8623520E-04,4.88281E-02
